InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Basic_A0,,,1.0,0.75,,0.018,0.0126,westeurope,V1
Basic_A1,,,1.0,1.75,,0.027,0.0189,westeurope,V1
Basic_A2,,,2.0,3.5,,0.078,0.0546,westeurope,V1
Basic_A3,,,4.0,7,,0.204,0.1428,westeurope,V1
Basic_A4,,,8.0,14,,0.408,0.2856,westeurope,V1
Standard_A0,,,1.0,0.75,,0.02,0.014,westeurope,V1
Standard_A1,,,1.0,1.75,,0.06,0.042,westeurope,V1
Standard_A1_v2,,,1.0,2,,0.041,0.00451,westeurope,V1
Standard_A2,,,2.0,3.5,,0.12,0.084,westeurope,V1
Standard_A2m_v2,,,2.0,16,,0.113,0.01243,westeurope,V1
Standard_A2_v2,,,2.0,4,,0.0861,0.009471,westeurope,V1
Standard_A3,,,4.0,7,,0.24,0.168,westeurope,V1
Standard_A4,,,8.0,14,,0.48,0.336,westeurope,V1
Standard_A4m_v2,,,4.0,32,,0.226,0.02486,westeurope,V1
Standard_A4_v2,,,4.0,8,,0.182,0.02002,westeurope,V1
Standard_A5,,,2.0,14,,0.27,0.189,westeurope,V1
Standard_A6,,,4.0,28,,0.54,0.378,westeurope,V1
Standard_A7,,,8.0,56,,1.08,0.756,westeurope,V1
Standard_A8m_v2,,,8.0,64,,0.453,0.04983,westeurope,V1
Standard_A8_v2,,,8.0,16,,0.38,0.0418,westeurope,V1
Standard_B12ms,,,12.0,48,,0.576,,westeurope,"V1,V2"
Standard_B16als_v2,,,16.0,32,,0.686,0.1683,westeurope,"V1,V2"
Standard_B16als_v2,,,16.0,32,,0.612,0.1683,westeurope,"V1,V2"
Standard_B16as_v2,,,16.0,64,,0.765,0.190025,westeurope,"V1,V2"
Standard_B16as_v2,,,16.0,64,,0.691,0.190025,westeurope,"V1,V2"
Standard_B16ls_v2,,,16.0,32,,0.68,0.187,westeurope,"V1,V2"
Standard_B16ls_v2,,,16.0,32,,0.754,0.187,westeurope,"V1,V2"
Standard_B16ms,,,16.0,64,,0.768,,westeurope,"V1,V2"
Standard_B16pls_v2,,,16.0,32,,0.544,0.1496,westeurope,"V1,V2"
Standard_B16pls_v2,,,16.0,32,,0.618,0.1496,westeurope,"V1,V2"
Standard_B16ps_v2,,,16.0,64,,0.688,0.16885,westeurope,"V1,V2"
Standard_B16ps_v2,,,16.0,64,,0.614,0.16885,westeurope,"V1,V2"
Standard_B16s_v2,,,16.0,64,,0.842,0.2112,westeurope,"V1,V2"
Standard_B16s_v2,,,16.0,64,,0.768,0.2112,westeurope,"V1,V2"
Standard_B1ls,,,1.0,0.5,,0.006,,westeurope,"V1,V2"
Standard_B1ms,,,1.0,2,,0.024,,westeurope,"V1,V2"
Standard_B1s,,,1.0,1,,0.012,,westeurope,"V1,V2"
Standard_B20ms,,,20.0,80,,0.96,,westeurope,"V1,V2"
Standard_B2als_v2,,,2.0,4,,0.0524,0.01188,westeurope,"V1,V2"
Standard_B2als_v2,,,2.0,4,,0.0432,0.01188,westeurope,"V1,V2"
Standard_B2as_v2,,,2.0,8,,0.0956,0.02376,westeurope,"V1,V2"
Standard_B2as_v2,,,2.0,8,,0.0864,0.02376,westeurope,"V1,V2"
Standard_B2ats_v2,,,2.0,1,,0.02,0.00297,westeurope,"V1,V2"
Standard_B2ats_v2,,,2.0,1,,0.0108,0.00297,westeurope,"V1,V2"
Standard_B2ls_v2,,,2.0,4,,0.048,0.0132,westeurope,"V1,V2"
Standard_B2ls_v2,,,2.0,4,,0.0572,0.0132,westeurope,"V1,V2"
Standard_B2ms,,,2.0,8,,0.096,,westeurope,"V1,V2"
Standard_B2pls_v2,,,2.0,4,,0.0384,0.01056,westeurope,"V1,V2"
Standard_B2pls_v2,,,2.0,4,,0.0476,0.01056,westeurope,"V1,V2"
Standard_B2ps_v2,,,2.0,8,,0.0768,0.02112,westeurope,"V1,V2"
Standard_B2ps_v2,,,2.0,8,,0.086,0.02112,westeurope,"V1,V2"
Standard_B2pts_v2,,,2.0,1,,0.0096,0.00264,westeurope,"V1,V2"
Standard_B2pts_v2,,,2.0,1,,0.0188,0.00264,westeurope,"V1,V2"
Standard_B2s,,,2.0,4,,0.048,,westeurope,"V1,V2"
Standard_B2s_v2,,,2.0,8,,0.105,0.0264,westeurope,"V1,V2"
Standard_B2s_v2,,,2.0,8,,0.096,0.0264,westeurope,"V1,V2"
Standard_B2ts_v2,,,2.0,1,,0.0212,0.0033,westeurope,"V1,V2"
Standard_B2ts_v2,,,2.0,1,,0.012,0.0033,westeurope,"V1,V2"
Standard_B32als_v2,,,32.0,64,,1.224,0.3366,westeurope,"V1,V2"
