SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100002.0,1.0,Cash loans,M,N,Y,0.0,202500.0,406597.5,24700.5,351000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-9461.0,-637.0,Laborers,1.0,2.0,0.083036967,0.262948593,0.13937578
100003.0,0.0,Cash loans,F,N,N,0.0,270000.0,1293502.5,35698.5,1129500.0,Family,State servant,Higher education,Married,House / apartment,-16765.0,-1188.0,Core staff,2.0,1.0,0.311267311,0.622245775,
100004.0,0.0,Revolving loans,M,Y,Y,0.0,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-19046.0,-225.0,Laborers,1.0,2.0,,0.555912083,0.729566691
100006.0,0.0,Cash loans,F,N,Y,0.0,135000.0,312682.5,29686.5,297000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-19005.0,-3039.0,Laborers,2.0,2.0,,0.65044169,
100007.0,0.0,Cash loans,M,N,Y,0.0,121500.0,513000.0,21865.5,513000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-19932.0,-3038.0,Core staff,1.0,2.0,,0.322738287,
100008.0,0.0,Cash loans,M,N,Y,0.0,99000.0,490495.5,27517.5,454500.0,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,-16941.0,-1588.0,Laborers,2.0,2.0,,0.354224732,0.621226338
100009.0,0.0,Cash loans,F,Y,Y,1.0,171000.0,1560726.0,41301.0,1395000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-13778.0,-3130.0,Accountants,3.0,2.0,0.774761413,0.723999852,0.492060094
100010.0,0.0,Cash loans,M,Y,Y,0.0,360000.0,1530000.0,42075.0,1530000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,-18850.0,-449.0,Managers,2.0,3.0,,0.714279286,0.54065445
100011.0,0.0,Cash loans,F,N,Y,0.0,112500.0,1019610.0,33826.5,913500.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,-20099.0,365243.0,,2.0,2.0,0.587334047,0.205747288,0.751723715
100012.0,0.0,Revolving loans,M,N,Y,0.0,135000.0,405000.0,20250.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-14469.0,-2019.0,Laborers,1.0,2.0,,0.746643629,
100014.0,0.0,Cash loans,F,N,Y,1.0,112500.0,652500.0,21177.0,652500.0,Unaccompanied,Working,Higher education,Married,House / apartment,-10197.0,-679.0,Core staff,3.0,2.0,0.319760172,0.651862333,0.363945239
100015.0,0.0,Cash loans,F,N,Y,0.0,38419.155,148365.0,10678.5,135000.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,-20417.0,365243.0,,2.0,2.0,0.72204445,0.555183162,0.652896552
100016.0,0.0,Cash loans,F,N,Y,0.0,67500.0,80865.0,5881.5,67500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-13439.0,-2717.0,Laborers,2.0,2.0,0.464831117,0.715041819,0.176652579
100017.0,0.0,Cash loans,M,Y,N,1.0,225000.0,918468.0,28966.5,697500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-14086.0,-3028.0,Drivers,3.0,2.0,,0.566906613,0.77008707
100018.0,0.0,Cash loans,F,N,Y,0.0,189000.0,773680.5,32778.0,679500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-14583.0,-203.0,Laborers,2.0,2.0,0.721939769,0.642656205,
100019.0,0.0,Cash loans,M,Y,Y,0.0,157500.0,299772.0,20160.0,247500.0,Family,Working,Secondary / secondary special,Single / not married,Rented apartment,-8728.0,-1157.0,Laborers,1.0,3.0,0.115634337,0.346633981,0.678567689
100020.0,0.0,Cash loans,M,N,N,0.0,108000.0,509602.5,26149.5,387000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-12931.0,-1317.0,Drivers,2.0,2.0,,0.23637784,0.062103038
100021.0,0.0,Revolving loans,F,N,Y,1.0,81000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-9776.0,-191.0,Laborers,3.0,2.0,,0.683513346,
100022.0,0.0,Revolving loans,F,N,Y,0.0,112500.0,157500.0,7875.0,157500.0,Other_A,Working,Secondary / secondary special,Widow,House / apartment,-17718.0,-7804.0,Laborers,1.0,1.0,,0.706428403,0.556727426
100023.0,0.0,Cash loans,F,N,Y,1.0,90000.0,544491.0,17563.5,454500.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,-11348.0,-2038.0,Core staff,2.0,2.0,,0.58661714,0.477649155
100024.0,0.0,Revolving loans,M,Y,Y,0.0,135000.0,427500.0,21375.0,427500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18252.0,-4286.0,Laborers,2.0,2.0,0.565654882,0.113374513,
100025.0,0.0,Cash loans,F,Y,Y,1.0,202500.0,1132573.5,37561.5,927000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-14815.0,-1652.0,Sales staff,3.0,2.0,0.43770902,0.233766958,0.542445144
100026.0,0.0,Cash loans,F,N,N,1.0,450000.0,497520.0,32521.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,-11146.0,-4306.0,Sales staff,3.0,3.0,,0.457142972,0.358951229
100027.0,0.0,Cash loans,F,N,Y,0.0,83250.0,239850.0,23850.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-24827.0,365243.0,,2.0,3.0,,0.624304737,0.669056695
100029.0,0.0,Cash loans,M,Y,N,2.0,135000.0,247500.0,12703.5,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-11286.0,-746.0,Drivers,4.0,2.0,,0.786179309,0.565607981
100030.0,0.0,Cash loans,F,N,Y,0.0,90000.0,225000.0,11074.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-19334.0,-3494.0,Cleaning staff,2.0,2.0,0.561948409,0.651405637,0.461482391
100031.0,1.0,Cash loans,F,N,Y,0.0,112500.0,979992.0,27076.5,702000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,-18724.0,-2628.0,Cooking staff,1.0,3.0,,0.54847716,0.190705948
100032.0,0.0,Cash loans,M,N,Y,1.0,112500.0,327024.0,23827.5,270000.0,Family,Working,Secondary / secondary special,Married,House / apartment,-15948.0,-1234.0,Laborers,3.0,2.0,,0.541123702,0.659405532
100033.0,0.0,Cash loans,M,Y,Y,0.0,270000.0,790830.0,57676.5,675000.0,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,-9994.0,-1796.0,,1.0,1.0,0.600395905,0.68501099,0.524496446
100034.0,0.0,Revolving loans,M,N,Y,0.0,90000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Higher education,Single / not married,With parents,-10341.0,-1010.0,Laborers,1.0,2.0,0.297913509,0.502779038,
100035.0,0.0,Cash loans,F,N,Y,0.0,292500.0,665892.0,24592.5,477000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15280.0,-2668.0,,2.0,2.0,,0.479987342,0.410102573
100036.0,0.0,Cash loans,F,N,Y,0.0,112500.0,512064.0,25033.5,360000.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,-11144.0,-1104.0,Private service staff,2.0,2.0,0.274422372,0.627300401,
100037.0,0.0,Cash loans,F,N,N,0.0,90000.0,199008.0,20893.5,180000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-12974.0,-4404.0,Laborers,2.0,2.0,,0.559466792,0.798137231
100039.0,0.0,Cash loans,M,Y,N,1.0,360000.0,733315.5,39069.0,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-11694.0,-2060.0,Drivers,3.0,2.0,,0.321744896,0.411848556
100040.0,0.0,Cash loans,F,N,Y,0.0,135000.0,1125000.0,32895.0,1125000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,-15997.0,-4585.0,Core staff,2.0,2.0,,0.172497508,
100041.0,0.0,Cash loans,F,N,N,0.0,112500.0,450000.0,44509.5,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,-12158.0,-1275.0,Sales staff,2.0,2.0,,0.663158076,0.678567689
100043.0,0.0,Cash loans,F,N,Y,2.0,198000.0,641173.5,23157.0,553500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-17199.0,-768.0,Private service staff,4.0,2.0,0.842763466,0.681698803,0.754406173
100044.0,0.0,Cash loans,M,N,Y,0.0,121500.0,454500.0,15151.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-21077.0,-1288.0,Drivers,2.0,2.0,0.804586121,0.719798537,0.72239289
100045.0,0.0,Cash loans,F,N,Y,0.0,99000.0,247275.0,17338.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-23920.0,365243.0,,2.0,2.0,,0.6507648,0.751723715
100046.0,0.0,Revolving loans,M,Y,Y,0.0,180000.0,540000.0,27000.0,540000.0,Unaccompanied,Working,Higher education,Married,House / apartment,-16126.0,-1761.0,Managers,2.0,2.0,,0.738053284,0.605836265
100047.0,1.0,Cash loans,M,N,Y,0.0,202500.0,1193580.0,35028.0,855000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-17482.0,-1262.0,Laborers,2.0,2.0,,0.306840586,0.320163367
100048.0,0.0,Cash loans,F,N,Y,0.0,202500.0,604152.0,29196.0,540000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-16971.0,-475.0,Laborers,2.0,2.0,,0.037315236,
100049.0,1.0,Cash loans,F,N,N,0.0,135000.0,288873.0,16258.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-13384.0,-3597.0,Sales staff,2.0,3.0,0.468208057,0.67420321,0.399675616
100050.0,0.0,Cash loans,F,N,Y,0.0,108000.0,746280.0,42970.5,675000.0,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,-23548.0,365243.0,,1.0,2.0,,0.766137805,0.684827659
100051.0,0.0,Cash loans,M,N,Y,0.0,202500.0,661702.5,48280.5,598500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-9827.0,-758.0,,2.0,2.0,,0.631518631,
100052.0,0.0,Revolving loans,F,N,Y,1.0,90000.0,180000.0,9000.0,180000.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,-7974.0,-895.0,Sales staff,3.0,2.0,,0.53554226,
100053.0,0.0,Cash loans,F,N,Y,0.0,202500.0,305221.5,17649.0,252000.0,Family,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20373.0,365243.0,,1.0,2.0,,0.247664717,0.475849909
100054.0,0.0,Cash loans,F,N,Y,0.0,99000.0,260640.0,26838.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-20121.0,-5332.0,Medicine staff,2.0,2.0,,0.089240653,0.728141299
100055.0,0.0,Cash loans,F,N,N,0.0,130500.0,1350000.0,37255.5,1350000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-19727.0,-4411.0,Managers,2.0,3.0,0.710427329,0.58918663,0.466864006
100056.0,0.0,Cash loans,M,Y,Y,0.0,360000.0,1506816.0,49927.5,1350000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18264.0,-9523.0,Laborers,2.0,2.0,,0.523934047,
100058.0,0.0,Revolving loans,F,N,Y,0.0,54000.0,135000.0,6750.0,135000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,-12406.0,-1176.0,Core staff,2.0,2.0,0.656224804,0.450849723,0.479448981
100059.0,0.0,Cash loans,M,Y,Y,1.0,540000.0,675000.0,34596.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-18632.0,-6977.0,Managers,3.0,2.0,0.311509925,0.713354585,0.309275356
100060.0,0.0,Cash loans,M,Y,N,0.0,76500.0,454500.0,14661.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-12282.0,-778.0,,2.0,2.0,0.244561633,0.705947457,0.799296783
100061.0,0.0,Cash loans,F,N,Y,2.0,225000.0,314055.0,16164.0,238500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-10473.0,-1392.0,Core staff,4.0,2.0,0.1895958,0.702979105,0.701695774
100062.0,0.0,Cash loans,M,Y,N,0.0,81000.0,675000.0,32472.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-18611.0,365243.0,,2.0,2.0,,0.662864927,0.73801962
