ds,y
2025-02-20 12:03:14.028978,84
2025-02-21 12:03:14.028978,83
2025-02-22 12:03:14.028978,96
2025-02-23 12:03:14.028978,111
2025-02-24 12:03:14.028978,98
2025-02-25 12:03:14.028978,129
2025-02-26 12:03:14.028978,137
2025-02-27 12:03:14.028978,89
2025-02-28 12:03:14.028978,82
2025-03-01 12:03:14.028978,97
2025-03-02 12:03:14.028978,93
2025-03-03 12:03:14.028978,98
2025-03-04 12:03:14.028978,136
2025-03-05 12:03:14.028978,105
2025-03-06 12:03:14.028978,65
2025-03-07 12:03:14.028978,82
2025-03-08 12:03:14.028978,83
2025-03-09 12:03:14.028978,102
2025-03-10 12:03:14.028978,95
2025-03-11 12:03:14.028978,122
2025-03-12 12:03:14.028978,141
2025-03-13 12:03:14.028978,82
2025-03-14 12:03:14.028978,90
2025-03-15 12:03:14.028978,81
2025-03-16 12:03:14.028978,95
2025-03-17 12:03:14.028978,108
2025-03-18 12:03:14.028978,127
2025-03-19 12:03:14.028978,132
2025-03-20 12:03:14.028978,80
2025-03-21 12:03:14.028978,88
2025-03-22 12:03:14.028978,91
2025-03-23 12:03:14.028978,121
2025-03-24 12:03:14.028978,108
2025-03-25 12:03:14.028978,131
2025-03-26 12:03:14.028978,139
2025-03-27 12:03:14.028978,75
2025-03-28 12:03:14.028978,95
2025-03-29 12:03:14.028978,79
2025-03-30 12:03:14.028978,91
2025-03-31 12:03:14.028978,112
2025-04-01 12:03:14.028978,151
2025-04-02 12:03:14.028978,135
2025-04-03 12:03:14.028978,88
2025-04-04 12:03:14.028978,92
2025-04-05 12:03:14.028978,86
2025-04-06 12:03:14.028978,99
2025-04-07 12:03:14.028978,108
2025-04-08 12:03:14.028978,157
2025-04-09 12:03:14.028978,139
2025-04-10 12:03:14.028978,73
2025-04-11 12:03:14.028978,100
2025-04-12 12:03:14.028978,98
2025-04-13 12:03:14.028978,102
2025-04-14 12:03:14.028978,120
2025-04-15 12:03:14.028978,159
2025-04-16 12:03:14.028978,147
2025-04-17 12:03:14.028978,84
2025-04-18 12:03:14.028978,95
2025-04-19 12:03:14.028978,107
2025-04-20 12:03:14.028978,120
2025-04-21 12:03:14.028978,111
2025-04-22 12:03:14.028978,150
2025-04-23 12:03:14.028978,129
2025-04-24 12:03:14.028978,82
2025-04-25 12:03:14.028978,108
2025-04-26 12:03:14.028978,119
2025-04-27 12:03:14.028978,111
2025-04-28 12:03:14.028978,128
2025-04-29 12:03:14.028978,158
2025-04-30 12:03:14.028978,136
2025-05-01 12:03:14.028978,99
2025-05-02 12:03:14.028978,117
2025-05-03 12:03:14.028978,107
2025-05-04 12:03:14.028978,130
2025-05-05 12:03:14.028978,94
2025-05-06 12:03:14.028978,165
2025-05-07 12:03:14.028978,146
2025-05-08 12:03:14.028978,94
2025-05-09 12:03:14.028978,104
2025-05-10 12:03:14.028978,89
2025-05-11 12:03:14.028978,114
2025-05-12 12:03:14.028978,126
2025-05-13 12:03:14.028978,174
2025-05-14 12:03:14.028978,142
2025-05-15 12:03:14.028978,90
2025-05-16 12:03:14.028978,100
2025-05-17 12:03:14.028978,120
2025-05-18 12:03:14.028978,121
2025-05-19 12:03:14.028978,119
2025-05-20 12:03:14.028978,167
2025-05-21 12:03:14.028978,151
2025-05-22 12:03:14.028978,110
2025-05-23 12:03:14.028978,99
2025-05-24 12:03:14.028978,110
2025-05-25 12:03:14.028978,116
2025-05-26 12:03:14.028978,111
2025-05-27 12:03:14.028978,167
2025-05-28 12:03:14.028978,155
2025-05-29 12:03:14.028978,101
2025-05-30 12:03:14.028978,106
2025-05-31 12:03:14.028978,100
2025-06-01 12:03:14.028978,117
2025-06-02 12:03:14.028978,125
2025-06-03 12:03:14.028978,159
2025-06-04 12:03:14.028978,153
2025-06-05 12:03:14.028978,107
2025-06-06 12:03:14.028978,129
2025-06-07 12:03:14.028978,118
2025-06-08 12:03:14.028978,126
2025-06-09 12:03:14.028978,129
2025-06-10 12:03:14.028978,150
2025-06-11 12:03:14.028978,156
2025-06-12 12:03:14.028978,105
2025-06-13 12:03:14.028978,136
2025-06-14 12:03:14.028978,116
2025-06-15 12:03:14.028978,128
2025-06-16 12:03:14.028978,132
2025-06-17 12:03:14.028978,160
2025-06-18 12:03:14.028978,170
2025-06-19 12:03:14.028978,114
2025-06-20 12:03:14.028978,121
2025-06-21 12:03:14.028978,111
2025-06-22 12:03:14.028978,141
2025-06-23 12:03:14.028978,120
2025-06-24 12:03:14.028978,180
2025-06-25 12:03:14.028978,183
2025-06-26 12:03:14.028978,98
2025-06-27 12:03:14.028978,109
2025-06-28 12:03:14.028978,123
2025-06-29 12:03:14.028978,124
2025-06-30 12:03:14.028978,120
2025-07-01 12:03:14.028978,178
2025-07-02 12:03:14.028978,153
2025-07-03 12:03:14.028978,114
2025-07-04 12:03:14.028978,107
2025-07-05 12:03:14.028978,139
2025-07-06 12:03:14.028978,123
2025-07-07 12:03:14.028978,135
2025-07-08 12:03:14.028978,188
2025-07-09 12:03:14.028978,154
2025-07-10 12:03:14.028978,113
2025-07-11 12:03:14.028978,131
2025-07-12 12:03:14.028978,109
2025-07-13 12:03:14.028978,134
2025-07-14 12:03:14.028978,142
2025-07-15 12:03:14.028978,190
2025-07-16 12:03:14.028978,156
2025-07-17 12:03:14.028978,99
2025-07-18 12:03:14.028978,125
2025-07-19 12:03:14.028978,130
2025-07-20 12:03:14.028978,137
2025-07-21 12:03:14.028978,145
2025-07-22 12:03:14.028978,178
2025-07-23 12:03:14.028978,173
2025-07-24 12:03:14.028978,117
2025-07-25 12:03:14.028978,114
2025-07-26 12:03:14.028978,147
2025-07-27 12:03:14.028978,141
2025-07-28 12:03:14.028978,132
2025-07-29 12:03:14.028978,194
2025-07-30 12:03:14.028978,163
2025-07-31 12:03:14.028978,123
2025-08-01 12:03:14.028978,135
2025-08-02 12:03:14.028978,122
2025-08-03 12:03:14.028978,148
2025-08-04 12:03:14.028978,150
2025-08-05 12:03:14.028978,198
2025-08-06 12:03:14.028978,194
2025-08-07 12:03:14.028978,115
2025-08-08 12:03:14.028978,117
2025-08-09 12:03:14.028978,123
2025-08-10 12:03:14.028978,132
2025-08-11 12:03:14.028978,147
2025-08-12 12:03:14.028978,196
2025-08-13 12:03:14.028978,181
2025-08-14 12:03:14.028978,127
2025-08-15 12:03:14.028978,126
