,SEASON_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ABBREVIATION,GAME_DAY,GAME_TIME
0,22021,MIL,NOP,2022-01-01,23:30
1,22021,NOP,MIL,2022-01-01,23:30
2,22021,DET,SAS,2022-01-02,00:00
3,22021,SAS,DET,2022-01-02,00:00
4,22021,WAS,CHI,2022-01-02,00:00
5,22021,CHI,WAS,2022-01-02,00:00
6,22021,BKN,LAC,2022-01-02,00:30
7,22021,LAC,BKN,2022-01-02,00:30
8,22021,HOU,DEN,2022-01-02,01:00
9,22021,DEN,HOU,2022-01-02,01:00
10,22021,UTA,GSW,2022-01-02,02:00
11,22021,GSW,UTA,2022-01-02,02:00
12,22021,TOR,NYK,2022-01-02,20:30
13,22021,NYK,TOR,2022-01-02,20:30
14,22021,BOS,ORL,2022-01-02,23:00
15,22021,ORL,BOS,2022-01-02,23:00
16,22021,CLE,IND,2022-01-02,23:00
17,22021,IND,CLE,2022-01-02,23:00
18,22021,SAC,MIA,2022-01-02,23:00
19,22021,MIA,SAC,2022-01-02,23:00
20,22021,CHA,PHX,2022-01-03,00:00
21,22021,PHX,CHA,2022-01-03,00:00
22,22021,OKC,DAL,2022-01-03,00:00
23,22021,DAL,OKC,2022-01-03,00:00
24,22021,LAL,MIN,2022-01-03,02:30
25,22021,MIN,LAL,2022-01-03,02:30
26,22021,PHI,HOU,2022-01-04,00:00
27,22021,HOU,PHI,2022-01-04,00:00
28,22021,WAS,CHA,2022-01-04,00:00
29,22021,CHA,WAS,2022-01-04,00:00
30,22021,BKN,MEM,2022-01-04,00:30
31,22021,MEM,BKN,2022-01-04,00:30
32,22021,CHI,ORL,2022-01-04,01:00
33,22021,ORL,CHI,2022-01-04,01:00
34,22021,MIL,DET,2022-01-04,01:00
35,22021,DET,MIL,2022-01-04,01:00
36,22021,NOP,UTA,2022-01-04,01:00
37,22021,UTA,NOP,2022-01-04,01:00
38,22021,DAL,DEN,2022-01-04,01:30
39,22021,DEN,DAL,2022-01-04,01:30
40,22021,GSW,MIA,2022-01-04,03:00
41,22021,MIA,GSW,2022-01-04,03:00
42,22021,POR,ATL,2022-01-04,03:00
43,22021,ATL,POR,2022-01-04,03:00
44,22021,LAC,MIN,2022-01-04,03:30
45,22021,MIN,LAC,2022-01-04,03:30
46,22021,CLE,MEM,2022-01-05,00:00
47,22021,MEM,CLE,2022-01-05,00:00
48,22021,TOR,SAS,2022-01-05,00:00
49,22021,SAS,TOR,2022-01-05,00:00
50,22021,NYK,IND,2022-01-05,00:30
51,22021,IND,NYK,2022-01-05,00:30
52,22021,NOP,PHX,2022-01-05,01:00
53,22021,PHX,NOP,2022-01-05,01:00
54,22021,LAL,SAC,2022-01-05,03:30
55,22021,SAC,LAL,2022-01-05,03:30
56,22021,CHA,DET,2022-01-06,00:00
57,22021,DET,CHA,2022-01-06,00:00
58,22021,ORL,PHI,2022-01-06,00:00
59,22021,PHI,ORL,2022-01-06,00:00
60,22021,WAS,HOU,2022-01-06,00:00
61,22021,HOU,WAS,2022-01-06,00:00
62,22021,BOS,SAS,2022-01-06,00:30
63,22021,SAS,BOS,2022-01-06,00:30
64,22021,IND,BKN,2022-01-06,00:30
65,22021,BKN,IND,2022-01-06,00:30
66,22021,DAL,GSW,2022-01-06,00:30
67,22021,GSW,DAL,2022-01-06,00:30
68,22021,MIL,TOR,2022-01-06,01:00
69,22021,TOR,MIL,2022-01-06,01:00
70,22021,MIN,OKC,2022-01-06,01:00
71,22021,OKC,MIN,2022-01-06,01:00
72,22021,DEN,UTA,2022-01-06,03:00
73,22021,UTA,DEN,2022-01-06,03:00
74,22021,POR,MIA,2022-01-06,03:00
75,22021,MIA,POR,2022-01-06,03:00
76,22021,SAC,ATL,2022-01-06,03:00
77,22021,ATL,SAC,2022-01-06,03:00
78,22021,NYK,BOS,2022-01-07,00:30
79,22021,BOS,NYK,2022-01-07,00:30
80,22021,MEM,DET,2022-01-07,01:00
81,22021,DET,MEM,2022-01-07,01:00
82,22021,NOP,GSW,2022-01-07,01:00
83,22021,GSW,NOP,2022-01-07,01:00
84,22021,PHX,LAC,2022-01-07,03:00
85,22021,LAC,PHX,2022-01-07,03:00
86,22021,PHI,SAS,2022-01-08,00:00
87,22021,SAS,PHI,2022-01-08,00:00
88,22021,BKN,MIL,2022-01-08,00:30
89,22021,MIL,BKN,2022-01-08,00:30
90,22021,TOR,UTA,2022-01-08,00:30
91,22021,UTA,TOR,2022-01-08,00:30
92,22021,CHI,WAS,2022-01-08,01:00
93,22021,WAS,CHI,2022-01-08,01:00
